"TARGET","EXT_SOURCE_2","EXT_SOURCE_3","credit_ration_annuity","credit_minus_goods","credit_ratio_annuity_ratio_employed","NAME_EDUCATION_TYPE","income_ration_annuity","employed_ratio_birth","NAME_CONTRACT_STATUS_mean","AMT_PAYMENT_sum","DPD_mean"
0,0.3391499,0.5107261,17.83216,73417.5,-0.006077765,2,3.287999,0.1953786,1.66666666666667,68567.04,0
0,0.5355096,0.5495965,16.4803,71280,-0.00765813,2,6.402049,0.2067839,2.66666666666667,131200.695,0
0,0.04494655,0.5107261,20.44399,138757.5,-0.003946715,2,3.937783,0.3629484,1,238418.91,9
0,0.494431347185655,0.244516391994675,30.8919793789713,147015,-0.0111563666951865,4,5.39503656635895,0.280632411067194,1,366118.785,0
0,0.535923,0.5107261,28.12867,178200,-0.0185057,4,10.09627,0.08803939,2,1996272.045,0
0,0.7231338,0.4650692,17.83216,73417.5,-0.009355804,4,10.46181,0.09613154,1,1351660.365,0
0,0.3559123,0.5107261,30.79109,0,-0.1327202,2,5.921364,0.01181864,1,77322.6,0
0,0.6124986,0.5028783,24.23198,96547.5,-0.01538539,2,6.763358,0.127386,1,343171.17,0
0,0.1299723,0.3944954,23.49092,67360.5,-0.004523574,4,9.998334,0.3559775,1,1402192.71,0
0,0.4544201,0.7016958,17.76279,59400,4.86328e-05,2,7.026419,-15.27446,1.44444444444444,937329.525,1.50909090909091
0,0.4513479,0.4400578,30.84449,133650,-0.01030554,2,3.94782,0.1628844,1,27218.835,33.1428571428571
0,0.1577086,0.5107261,17.26997,25186.5,-0.0107601,2,4.420866,0.09831547,1,36160.02,0
1,0.594954,0.5107261,10.36375,0,2.837494e-05,2,3.048161,-15.79429,1.5,875824.02,0
0,0.6707306,0.5971924,34.56885,100980,-0.2215952,3,14.47876,0.007296198,1.39252969782729,679776.994205205,1.0670441535606
0,0.6300264,0.5107261,25.6817,111375,-0.02276747,2,4.287429,0.07733973,1.8,1213757.37,0.862068965517241
1,0.4178904,0.5010752,20,0,-0.03273322,2,30,0.05768505,1,1248169.005,0
0,0.6570449,0.4578996,36.2558,196020,-0.01731414,2,2.110595,0.1225063,2.14285714285714,808357.185,0.105263157894737
0,0.0001976469,0.2103502,12.39287,22275,-0.0103188,2,8.11908,0.133252,2,212216.31,0.955555555555556
1,0.5060862,0.499272,25.10611,80725.5,-0.01354159,2,11.14579,0.1061126,1.4,1318459.77,0
0,0.2935203,0.2485356,20,0,-0.01984127,2,15,0.1233933,1.66666666666667,319935.96,0.103448275862069
0,0.6108936,0.5107261,12.65794,59400,3.465623e-05,4,6.150062,-15.80933,2.33333333333333,77811.615,0
0,0.5619391,0.3201634,12.40921,42768,-0.007185416,2,4.820568,0.1538393,2.33333333333333,576160.425,0.35
0,0.7031069,0.2009261,10.05865,29700,-0.004108924,2,4.798294,0.2370256,1.16666666666667,908678.655,0.175438596491228
1,0.1877721,0.5316861,13.74364,45621,-0.1184797,2,9.784736,0.01134807,1,100330.56,3.90909090909091
0,0.5619606,0.1585549,26.31579,0,7.205009e-05,2,7.202216,-18.82599,1,135107.1,1.23076923076923
1,0.6455786,0.7338145,18.37534,154053,-0.007792766,2,4.395121,0.2155196,1,236389.5,0.260869565217391
0,0.228702,0.4722533,9.377199,14850,-0.002843299,2,7.037298,0.2944117,2,33371.145,0
0,0.6946025,0.5107261,36.26507,0,-0.03825429,4,4.673334,0.05889296,1.5,1347674.445,0
0,0.01633462,0.0005272652,14.78197,0,-0.006421358,4,5.912786,0.248623,2.33333333333333,212858.19,0.535714285714286
0,0.4140601,0.7688076,21.34273,95040,-0.1385892,2,3.524229,0.01289782,1,365053.275,0
0,0.6120158,0.6738301,37.62366,106920,-0.006412759,4,14.39414,0.4451104,1.39252969782729,679776.994205205,1.0670441535606
0,0.6996582,0.5797274,20.68204,56133,5.662543e-05,2,10.56338,-16.15691,1.25,1421112.195,0
0,0.4312618,0.7838324,21.4682,56133,-0.009289572,4,6.396199,0.1856374,1.5,178298.865,1.02564102564103
0,0.6675644,0.2539628,20.71875,160380,-0.005054586,2,6.138393,0.2686988,1.57142857142857,189275.715,0
0,0.7491545,0.2512394,18.36352,127413,-0.0384174,2,9.29368,0.02641322,1,91118.16,0
0,0.5765389,0.5262949,30.89176,0,-0.1127436,2,3.016773,0.02103324,2,132458.22,0
0,0.4168163,0.5762088,30.84449,133650,-0.03015102,2,5.492619,0.1270492,1,38572.47,0
1,0.349477216440729,0.510726079377862,20,0,-0.0164744645799012,2,11.3333333333333,0.0715422240556309,1,55765.26,0
0,0.7683598,0.5673792,37.83564,267300,-0.006946144,4,13.52722,0.236128,1.39252969782729,679776.994205205,1.0670441535606
0,0.5012647,0.6313545,33.98952,115830,-0.01650778,2,9.821039,0.1157978,1,337409.64,0.46875
0,0.3108549,0.2778857,14.70051,46332,-0.02905239,2,6.052323,0.02615528,2.27272727272727,146858.13,0
0,0.6541812,0.5919766,34.20216,265698,-0.02312519,2,5.028916,0.1085027,1.66666666666667,168002.82,4.5
0,0.3403517,0.1694287,11.62325,0,-0.08362048,4,8.016032,0.006843582,2.38461538461538,1255206.42,0.461538461538462
0,0.3133902,0.3740208,34.02162,138105,-0.09804501,2,2.931477,0.02196481,1.25,17960.76,0
0,0.7067594,0.5779691,16.27384,45621,4.455621e-05,2,13.03281,-16.9565,1,1038550.23,0.580645161290323
0,0.6106181,0.4974689,16.4803,71280,-0.006930318,4,5.69071,0.2249976,1.25,1826115.975,0.395833333333333
0,0.5522705,0.2608559,37.406,125928,-0.06427149,2,9.237875,0.06438053,1.39252969782729,679776.994205205,1.0670441535606
0,0.2816844,0.7922645,20,0,-0.0156128,4,16.66667,0.07534851,1.8,4256340.12,0.0792079207920792
0,0.5596716,0.7252764,24.26316,85536,-0.0143995,2,12.33553,0.170288,1.39252969782729,679776.994205205,1.0670441535606
0,0.2078205,0.5107261,19.49565,131157,-0.03800323,2,4.023173,0.06199396,1.33333333333333,425504.97,0
0,0.6718115,0.367291,10.11065,8910,2.768199e-05,2,4.110022,-18.20571,1,122973.525,0.444444444444444
0,0.6582363,0.8128226,17.73296,0,4.855114e-05,2,5.910987,-16.8836,1,249971.445,1.77777777777778
1,0.585784348331048,0.102782014419929,8.42682926829268,7128,-0.0473417374623184,3,10.4166666666667,0.0205376716280143,2,76573.17,0
0,0.6659027,0.832785,9.760117,14850,2.672226e-05,2,3.662333,-16.20134,1,701553.78,0.306122448979592
0,0.7419408,0.4578996,34.11128,366736.5,-0.009627796,2,5.450581,0.2575791,1,62157.78,0.388888888888889
1,0.6289605,0.6446795,24.3843,0,-0.02395314,4,6.096074,0.0824759,1.39252969782729,65962.665,5.82608695652174
0,0.3731071,0.5107261,12.64963,22275,-0.02316782,2,3.453039,0.05307154,1,145934.505,0
0,0.650004,0.565608,10.51726,0,-0.01092135,4,2.390286,0.08398744,1.76923076923077,539728.065,0.0571428571428571
0,0.675105580274653,0.345784802469596,20,0,-0.0157728706624606,2,6.66666666666667,0.121864488226814,1.66666666666667,920430.54,0
0,0.4319377,0.8357765,34.20325,171963,9.36452e-05,2,4.585799,-15.97319,1,777870.18,0.243243243243243
0,0.4504383,0.2580842,20.66613,0,-0.006408103,2,9.028892,0.2657821,1.33333333333333,382430.52,2.14285714285714
0,0.727971466006601,0.657783800208331,10.0819672131148,4455,2.76034508891745e-05,4,11.3493064312736,-15.0510157827502,1.45454545454545,982496.115,0.27906976744186
0,0.5049001,0.5937176,9.259259,0,-0.006904742,2,18.51852,0.1321052,1.6875,608120.415,0.246153846153846
0,0.6463687,0.5567274,18.36885,0,-0.02996549,2,3.918687,0.04151148,1,303125.94,0
0,0.7278502,0.6848277,15.19757,0,-0.01498774,2,4.469873,0.1119452,1,115198.74,0
0,0.7109114,0.5298898,26.91345,0,7.368642e-05,2,2.235336,-15.94739,1.16666666666667,952909.29,0
