"SK_ID_CURR","TARGET","EXT_SOURCE_2","EXT_SOURCE_3","credit_ration_annuity","credit_minus_goods","credit_ratio_annuity_ratio_employed","NAME_EDUCATION_TYPE","income_ration_annuity","employed_ratio_birth","NAME_CONTRACT_STATUS_mean","AMT_PAYMENT_sum"
100027,0,0.3391499,0.5107261,17.83216,73417.5,-0.006077765,2,3.287999,0.1953786,1.66666666666667,68567.04
100137,0,0.5355096,0.5495965,16.4803,71280,-0.00765813,2,6.402049,0.2067839,2.66666666666667,131200.695
100185,0,0.04494655,0.5107261,20.44399,138757.5,-0.003946715,2,3.937783,0.3629484,1,238418.91
100203,0,0.494431347185655,0.244516391994675,30.8919793789713,147015,-0.0111563666951865,4,5.39503656635895,0.280632411067194,1,366118.785
100249,0,0.535923,0.5107261,28.12867,178200,-0.0185057,4,10.09627,0.08803939,2,1996272.045
100251,0,0.7231338,0.4650692,17.83216,73417.5,-0.009355804,4,10.46181,0.09613154,1,1351660.365
100300,0,0.3559123,0.5107261,30.79109,0,-0.1327202,2,5.921364,0.01181864,1,77322.6
100324,0,0.6124986,0.5028783,24.23198,96547.5,-0.01538539,2,6.763358,0.127386,1,343171.17
100328,0,0.1299723,0.3944954,23.49092,67360.5,-0.004523574,4,9.998334,0.3559775,1,1402192.71
100364,0,0.4544201,0.7016958,17.76279,59400,4.86328e-05,2,7.026419,-15.27446,1.44444444444444,937329.525
100380,0,0.4513479,0.4400578,30.84449,133650,-0.01030554,2,3.94782,0.1628844,1,27218.835
100400,0,0.1577086,0.5107261,17.26997,25186.5,-0.0107601,2,4.420866,0.09831547,1,36160.02
100441,1,0.594954,0.5107261,10.36375,0,2.837494e-05,2,3.048161,-15.79429,1.5,875824.02
100442,0,0.6707306,0.5971924,34.56885,100980,-0.2215952,3,14.47876,0.007296198,1.39252969782729,679776.994205205
100459,0,0.6300264,0.5107261,25.6817,111375,-0.02276747,2,4.287429,0.07733973,1.8,1213757.37
100482,1,0.4178904,0.5010752,20,0,-0.03273322,2,30,0.05768505,1,1248169.005
100515,0,0.6570449,0.4578996,36.2558,196020,-0.01731414,2,2.110595,0.1225063,2.14285714285714,808357.185
100563,0,0.0001976469,0.2103502,12.39287,22275,-0.0103188,2,8.11908,0.133252,2,212216.31
100587,1,0.5060862,0.499272,25.10611,80725.5,-0.01354159,2,11.14579,0.1061126,1.4,1318459.77
100590,0,0.2935203,0.2485356,20,0,-0.01984127,2,15,0.1233933,1.66666666666667,319935.96
100601,0,0.6108936,0.5107261,12.65794,59400,3.465623e-05,4,6.150062,-15.80933,2.33333333333333,77811.615
100681,0,0.5619391,0.3201634,12.40921,42768,-0.007185416,2,4.820568,0.1538393,2.33333333333333,576160.425
100880,0,0.7031069,0.2009261,10.05865,29700,-0.004108924,2,4.798294,0.2370256,1.16666666666667,908678.655
100923,1,0.1877721,0.5316861,13.74364,45621,-0.1184797,2,9.784736,0.01134807,1,100330.56
100966,0,0.5619606,0.1585549,26.31579,0,7.205009e-05,2,7.202216,-18.82599,1,135107.1
100975,1,0.6455786,0.7338145,18.37534,154053,-0.007792766,2,4.395121,0.2155196,1,236389.5
101019,0,0.228702,0.4722533,9.377199,14850,-0.002843299,2,7.037298,0.2944117,2,33371.145
101035,0,0.6946025,0.5107261,36.26507,0,-0.03825429,4,4.673334,0.05889296,1.5,1347674.445
101048,0,0.01633462,0.0005272652,14.78197,0,-0.006421358,4,5.912786,0.248623,2.33333333333333,212858.19
101060,0,0.4140601,0.7688076,21.34273,95040,-0.1385892,2,3.524229,0.01289782,1,365053.275
