"","SK_ID_CURR","TARGET","EXT_SOURCE_2","EXT_SOURCE_3","credit_ration_annuity","credit_ratio_annuity_ratio_employed","credit_minus_goods","NAME_EDUCATION_TYPE","DAYS_CREDIT_mean","DAYS_FIRST_DRAWING_max","income_ration_annuity","DAYS_CREDIT_max","DAYS_LAST_DUE_1ST_VERSION_max","NAME_CONTRACT_STATUS_mean","AMT_PAYMENT_sum","DPD_mean","employed_ratio_birth"
"1",306086,"0",0.3391499,0.5107261,17.83216,-0.006077765,73417.5,"2",-1083.0304529681,-165,3.287999,-488.859465506906,-Inf,1.66666666666667,68567.04,0,0.1953786
"2",136430,"0",0.5355096,0.5495965,16.4803,-0.00765813,71280,"2",-918.333333333333,-Inf,6.402049,-235,-717,2.66666666666667,131200.695,0,0.2067839
"3",417089,"0",0.04494655,0.5107261,20.44399,-0.003946715,138757.5,"2",-1083.0304529681,-Inf,3.937783,-488.859465506906,-541,1,238418.91,9,0.3629484
"4",103549,"0",0.494431347185655,0.244516391994675,30.8919793789713,-0.0111563666951865,147015,"4",-854.391304347826,-Inf,5.39503656635895,-45,38,1,366118.785,0,0.280632411067194
"5",384666,"0",0.535923,0.5107261,28.12867,-0.0185057,178200,"4",-1083.0304529681,-Inf,10.09627,-488.859465506906,812,2,1996272.045,0,0.08803939
"6",232039,"0",0.7231338,0.4650692,17.83216,-0.009355804,73417.5,"4",-941,-Inf,10.46181,-396,280,1,1351660.365,0,0.09613154
"7",265748,"0",0.3559123,0.5107261,30.79109,-0.1327202,0,"2",-437,-Inf,5.921364,-437,-477,1,77322.6,0,0.01181864
"8",266632,"0",0.6124986,0.5028783,24.23198,-0.01538539,96547.5,"2",-2696,-Inf,6.763358,-2696,-91,1,343171.17,0,0.127386
"9",143495,"0",0.1299723,0.3944954,23.49092,-0.004523574,67360.5,"4",-942.833333333333,-1712,9.998334,-134,422,1,1402192.71,0,0.3559775
"10",410427,"0",0.4544201,0.7016958,17.76279,4.86328e-05,59400,"2",-381,-Inf,7.026419,-381,177,1.44444444444444,937329.525,1.50909090909091,-15.27446
"11",217231,"0",0.4513479,0.4400578,30.84449,-0.01030554,133650,"2",-895.555555555556,-Inf,3.94782,-171,-1257,1,27218.835,33.1428571428571,0.1628844
"12",217171,"0",0.1577086,0.5107261,17.26997,-0.0107601,25186.5,"2",-1083.0304529681,-Inf,4.420866,-488.859465506906,45,1,36160.02,0,0.09831547
"13",320472,"1",0.594954,0.5107261,10.36375,2.837494e-05,0,"2",-1810.66666666667,-1212,3.048161,-905,-1174,1.5,875824.02,0,-15.79429
